ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
4129,37.0,3767,3886,32.97056245803833
4130,14.0,3757,3874,16.485281229019165
4131,2.0,3754,3873,5.656854152679443
4132,14.0,3882,3865,15.313708186149597
4133,829.0,3678,3894,166.02438485622406
4134,5531.0,3406,3944,891.9797884225845
4135,30.0,3407,3983,20.485281229019165
4136,30.0,3407,3940,21.656854152679443
4137,194.0,3413,3926,54.97056233882904
4138,4.0,3423,3895,8.0
4139,180.0,3449,3869,72.42640590667725
4140,2.0,3444,3853,5.656854152679443
4141,2.0,3050,3852,5.656854152679443
4142,49.5,3877,3855,32.3847758769989
4143,119.0,3832,3857,51.94112432003021
4144,341.0,3368,3851,150.36753058433533
4145,54.0,3878,3842,30.97056233882904
4146,11.0,3131,3837,12.485281229019165
4147,2.0,3789,3832,5.656854152679443
4148,35.0,3901,3832,27.798989415168762
4149,9.0,3563,3828,12.485281229019165
4150,56.0,3889,3829,34.627416372299194
4151,2.0,3900,3824,5.656854152679443
4152,4.0,3898,3823,7.656854152679443
4153,2.0,3895,3821,5.656854152679443
4154,2.0,3504,3819,5.656854152679443
4155,2.0,3801,3818,5.656854152679443
4156,87.5,3811,3823,50.52691113948822
4157,29.0,3793,3820,23.313708186149597
4158,2.0,3869,3816,5.656854152679443
4159,235.5,3849,3819,105.01219248771667
4160,123.0,3358,3823,68.62741649150848
4161,17779.5,3914,3880,2160.937281727791
4162,19.5,3960,3928,17.41421353816986
4163,8.5,3824,3919,11.41421353816986
4164,4.0,3943,3910,8.0
4165,15.5,3810,3911,15.41421353816986
4166,62.0,3786,3908,32.485281229019165
4167,79.5,3931,3901,36.72792184352875
4168,17.5,3956,3894,16.242640614509583
4169,62.5,3824,3893,31.071067690849304
4170,11.5,3882,3882,13.41421353816986
4171,60.5,3969,3882,33.899494647979736
4172,23.0,3855,3878,19.656854152679443
4173,4.0,3817,3868,8.0
4174,132.5,3908,3871,50.38477611541748
4175,64.5,3961,3865,31.071067690849304
4176,93.5,3916,3854,38.38477599620819
4177,9.0,3852,3849,12.0
4178,4.0,4006,3833,8.0
4179,11.0,3930,3831,12.828427076339722
4180,58.5,3968,3824,43.55634891986847
4181,23.0,3893,3816,21.313708305358887
4182,2359.5,3747,3851,627.4284932613373
4183,22.5,3750,3832,18.242640614509583
4184,5942.5,3550,3868,843.5950133800507
4185,15.5,3532,3850,15.41421353816986
4186,26.0,3515,3823,20.82842707633972
4187,166.5,3485,3817,74.87005722522736
4188,14.0,3455,3815,14.485281229019165
4189,2.0,3437,3815,5.656854152679443
4190,2038.0,3416,3836,329.7644993066788
4191,49.0,3410,3842,27.656854152679443
4192,6.0,3130,3814,9.656854152679443
4193,4257.5,3073,3866,817.9381589889526
4194,105.5,3245,3797,44.041630029678345
4195,24.0,3275,3786,21.313708305358887
4196,16.0,3268,3784,16.485281229019165
4197,14.0,3263,3782,14.485281229019165
4198,2.0,3258,3776,5.656854152679443
4199,5.5,4021,3773,9.071067690849304
4200,7.0,3829,3771,9.656854152679443
4201,27.0,3819,3772,21.313708186149597
4202,2.0,3699,3770,5.656854152679443
4203,2.0,3477,3770,5.656854152679443
4204,2.0,3701,3769,5.656854152679443
4205,28.5,3398,3771,23.55634880065918
4206,2.0,3702,3768,5.656854152679443
4207,2.0,3712,3767,5.656854152679443
4208,132.5,3687,3771,53.55634891986847
4209,18.5,3830,3766,16.727921724319458
4210,136.5,3918,3769,62.870057106018066
4211,21.0,3726,3764,20.14213526248932
4212,80.5,3658,3763,35.21320295333862
4213,257.5,4008,3765,82.18376541137695
4214,54.5,3938,3758,41.21320307254791
4215,2.0,3946,3751,5.656854152679443
4216,2.0,3043,3751,5.656854152679443
4217,234.0,3986,3761,87.59797894954681
4218,2.0,3945,3750,5.656854152679443
4219,35.5,2999,3754,34.041630268096924
4220,6.0,3832,3746,9.656854152679443
4221,2.0,3009,3744,5.656854152679443
4222,2.0,3047,3743,5.656854152679443
4223,2.0,3697,3739,5.656854152679443
4224,2.0,3695,3738,5.656854152679443
4225,24.0,3811,3736,22.14213526248932
4226,56.5,3030,3737,34.38477575778961
4227,2.0,3816,3734,5.656854152679443
4228,37.0,3854,3736,31.79898965358734
4229,4.0,3820,3732,7.656854152679443
4230,8.0,3823,3731,11.656854152679443
4231,2.0,3848,3726,5.656854152679443
4232,1852.0,3770,3757,352.24978029727936
4233,23.5,3788,3740,18.242640614509583
4234,72.5,3754,3727,44.870057106018066
4235,65.0,3794,3717,40.97056245803833
4236,251.0,3835,3721,125.39696848392487
4237,40.5,3803,3704,24.727921843528748
4238,2.0,3762,3653,5.656854152679443
4239,2.0,3763,3652,5.656854152679443
4240,41.0,3935,3646,26.97056233882904
4241,27.0,3841,3632,22.14213538169861
4242,4.0,3836,3630,7.656854152679443
4243,10.0,3833,3629,13.656854152679443
4244,417.0,3680,3608,95.74011445045471
4245,35.0,3635,3590,26.97056245803833
4246,4.0,3871,3580,7.656854152679443
4247,12.5,3635,3579,14.727921724319458
4248,329.5,3809,3585,78.66904723644257
4249,121.5,3655,3572,54.52691113948822
4250,7.0,3858,3563,10.485281229019165
4251,2.0,3881,3560,5.656854152679443
4252,2.0,3681,3560,5.656854152679443
